threshold,precision,recall,f1
0.01,0.5,1.0,0.6666666666666666
0.013333333333333334,0.5012531328320802,1.0,0.667779632721202
0.016666666666666666,0.5025125628140703,1.0,0.6688963210702341
0.02666666666666667,0.5037783375314862,1.0,0.6700167504187605
0.03,0.5063291139240507,1.0,0.6722689075630253
0.03333333333333333,0.5089058524173028,1.0,0.6745362563237773
0.04,0.5102040816326531,1.0,0.6756756756756758
0.04666666666666667,0.5141388174807198,1.0,0.6791171477079796
0.05,0.5181347150259067,1.0,0.68259385665529
0.05333333333333334,0.5194805194805194,1.0,0.6837606837606837
0.06,0.5221932114882507,1.0,0.686106346483705
0.06333333333333334,0.5277044854881267,1.0,0.6908462867012091
0.06666666666666667,0.5319148936170213,1.0,0.6944444444444444
0.07,0.5347593582887701,1.0,0.6968641114982579
0.07333333333333333,0.5390835579514824,1.0,0.700525394045534
0.07666666666666666,0.5405405405405406,1.0,0.7017543859649124
0.08,0.5434782608695652,1.0,0.704225352112676
0.08333333333333333,0.547945205479452,1.0,0.7079646017699115
0.09,0.5524861878453039,1.0,0.7117437722419929
0.09333333333333334,0.554016620498615,1.0,0.7130124777183601
0.09666666666666666,0.5586592178770949,1.0,0.7168458781362006
0.1,0.5602240896358543,1.0,0.718132854578097
0.10333333333333333,0.5617977528089888,1.0,0.7194244604316548
0.10666666666666667,0.5633802816901409,1.0,0.7207207207207207
0.11,0.56657223796034,1.0,0.7233273056057866
0.11333333333333333,0.5747126436781609,1.0,0.7299270072992701
0.11666666666666667,0.5780346820809249,1.0,0.7326007326007327
0.12,0.5813953488372093,1.0,0.7352941176470588
0.12666666666666668,0.5830903790087464,1.0,0.7366482504604052
0.13333333333333333,0.5865102639296188,1.0,0.7393715341959335
0.13666666666666666,0.5970149253731343,1.0,0.7476635514018691
0.14333333333333334,0.6006006006006006,1.0,0.7504690431519699
0.14666666666666667,0.60790273556231,1.0,0.7561436672967864
0.15333333333333332,0.6172839506172839,1.0,0.7633587786259541
0.15666666666666668,0.6191950464396285,1.0,0.7648183556405354
0.16,0.6211180124223602,1.0,0.7662835249042146
0.16333333333333333,0.6230529595015576,1.0,0.7677543186180421
0.16666666666666666,0.625,1.0,0.7692307692307693
0.17,0.6277602523659306,0.995,0.769825918762089
0.17333333333333334,0.6337579617834395,0.995,0.77431906614786
0.17666666666666667,0.6378205128205128,0.995,0.7773437499999999
0.18,0.639871382636656,0.995,0.7788649706457925
0.18333333333333332,0.6461038961038961,0.995,0.7834645669291338
0.19,0.6503267973856209,0.995,0.7865612648221344
0.19333333333333333,0.6524590163934426,0.995,0.7881188118811882
0.19666666666666666,0.6589403973509934,0.995,0.7928286852589642
0.2,0.6633333333333333,0.995,0.796
0.20333333333333334,0.6677852348993288,0.995,0.7991967871485944
0.20666666666666667,0.6722972972972973,0.995,0.8024193548387096
0.21,0.6768707482993197,0.995,0.805668016194332
0.21333333333333335,0.6815068493150684,0.995,0.8089430894308943
0.21666666666666667,0.6804123711340206,0.99,0.8065173116089613
0.22,0.6782006920415224,0.98,0.8016359918200409
0.22333333333333333,0.6829268292682927,0.98,0.8049281314168377
0.22666666666666666,0.6901408450704225,0.98,0.8099173553719008
0.23,0.6890459363957597,0.975,0.8074534161490683
0.23333333333333334,0.6914893617021277,0.975,0.8091286307053943
0.24333333333333335,0.693950177935943,0.975,0.8108108108108109
0.24666666666666667,0.6989247311827957,0.975,0.8141962421711901
0.25333333333333335,0.7090909090909091,0.975,0.8210526315789474
0.25666666666666665,0.7116788321167883,0.975,0.8227848101265822
0.26,0.7169117647058824,0.975,0.826271186440678
0.2633333333333333,0.7195571955719557,0.975,0.8280254777070064
0.26666666666666666,0.7211895910780669,0.97,0.8272921108742003
0.2733333333333333,0.7228464419475655,0.965,0.8265524625267666
0.27666666666666667,0.7255639097744361,0.965,0.8283261802575107
0.28,0.7310606060606061,0.965,0.8318965517241379
0.2833333333333333,0.7338403041825095,0.965,0.8336933045356371
0.2866666666666667,0.7366412213740458,0.965,0.8354978354978355
0.29,0.7394636015325671,0.965,0.8373101952277658
0.2966666666666667,0.7441860465116279,0.96,0.8384279475982533
0.3,0.75,0.96,0.8421052631578947
0.30333333333333334,0.7529411764705882,0.96,0.843956043956044
0.31,0.7559055118110236,0.96,0.8458149779735682
0.31333333333333335,0.758893280632411,0.96,0.8476821192052979
0.3233333333333333,0.7619047619047619,0.96,0.8495575221238937
0.32666666666666666,0.768,0.96,0.8533333333333333
0.33666666666666667,0.7732793522267206,0.955,0.854586129753915
0.3433333333333333,0.7795918367346939,0.955,0.8584269662921348
0.3466666666666667,0.7860082304526749,0.955,0.8623024830699774
0.35,0.7892561983471075,0.955,0.8642533936651584
0.35333333333333333,0.7925311203319502,0.955,0.8662131519274375
0.3566666666666667,0.799163179916318,0.955,0.8701594533029613
0.36333333333333334,0.7983193277310925,0.95,0.867579908675799
